"TOA5","Bocas_MGeo","CR1000X","2444","CR1000X.Std.01.02","CPU:bocaslvl_20191212.CR1X","13142","EXOTable"
"TIMESTAMP","RECORD","WaterTemp","SpCond","Cond","TDS","Salinity","ODOSat","ODO","Pressure","Depth","PH","Turbidity","FCholophyll","MChlorophyll","FAlgae","MAlgae","fDom","QSEfDom","pHmv"
"TS","RN","Celsius","mS/cm","mS/cm","g/l","psu","%","mg/l","psi","m","","FNU","RFU","micro-gram/l","RFU","micro-gram/lPE","RFU","ppbQSE","mv"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-11-29 23:48:00",83857,29.11,51.57,55.62,33.52,33.78,92.5,5.89,0.23,0.158,8.06,0.66,0.21,0.88,-0.11,-0.41,0.51,-2.05,0
"2020-11-29 23:54:00",83858,29.1,51.57,55.61,33.52,33.78,92.6,5.9,0.24,0.167,8.06,0.66,0.23,1,-0.1,-0.37,0.51,-2.04,0
"2020-11-30 00:00:00",83859,29.08,51.57,55.59,33.52,33.78,91.6,5.84,0.23,0.162,8.06,0.67,0.22,0.95,-0.07,-0.28,0.53,-2,0
"2020-11-30 00:06:00",83860,29.09,51.57,55.59,33.52,33.78,90.7,5.78,0.23,0.162,8.06,0.69,0.2,0.84,-0.06,-0.22,0.47,-2.17,0
"2020-11-30 00:12:00",83861,29.08,51.57,55.59,33.52,33.78,90.3,5.75,0.24,0.168,8.05,0.58,0.23,0.97,-0.06,-0.25,0.52,-2.03,0
"2020-11-30 00:18:00",83862,29.07,51.57,55.58,33.52,33.78,89.8,5.72,0.24,0.168,8.05,0.68,0.25,1.06,-0.09,-0.34,0.52,-2.04,0
"2020-11-30 00:24:00",83863,29.07,51.57,55.58,33.52,33.78,89.7,5.72,0.24,0.166,8.05,0.68,0.32,1.38,0.14,0.49,0.55,-1.94,0
"2020-11-30 00:30:00",83864,29.08,51.57,55.59,33.52,33.78,88.7,5.66,0.23,0.161,8.05,0.65,0.23,0.98,0,-0.01,0.58,-1.84,0
"2020-11-30 00:36:00",83865,29.08,51.57,55.59,33.52,33.78,87.5,5.58,0.23,0.159,8.04,0.71,0.26,1.13,-0.03,-0.15,0.54,-1.95,0
"2020-11-30 00:42:00",83866,29.06,51.57,55.57,33.52,33.78,87.7,5.59,0.24,0.167,8.05,0.73,0.23,0.99,-0.06,-0.23,0.62,-1.74,0
"2020-11-30 00:48:00",83867,29.06,51.57,55.57,33.52,33.78,86.8,5.53,0.24,0.168,8.04,0.73,0.25,1.07,0.07,0.22,0.65,-1.64,0
"2020-11-30 00:54:00",83868,29.06,51.57,55.57,33.52,33.78,85.2,5.43,0.24,0.167,8.04,0.74,0.2,0.86,0,-0.03,0.62,-1.72,0
"2020-11-30 01:00:00",83869,29.05,51.57,55.57,33.52,33.78,83.1,5.3,0.26,0.177,8.03,0.84,0.28,1.2,0.11,0.37,0.69,-1.53,0
"2020-11-30 01:06:00",83870,29.05,51.57,55.56,33.52,33.78,83.3,5.31,0.25,0.175,8.03,0.8,0.25,1.06,0.03,0.08,0.68,-1.55,0
"2020-11-30 01:12:00",83871,29.03,51.57,55.54,33.52,33.78,84.2,5.37,0.27,0.189,8.03,0.79,0.26,1.1,0.15,0.53,0.62,-1.73,0
"2020-11-30 01:18:00",83872,29.01,51.57,55.53,33.52,33.78,83.8,5.35,0.27,0.189,8.03,0.71,0.24,1.01,0.14,0.51,0.63,-1.7,0
"2020-11-30 01:24:00",83873,29.01,51.57,55.52,33.52,33.78,84,5.36,0.29,0.198,8.03,0.73,0.22,0.93,-0.03,-0.13,0.63,-1.7,0
"2020-11-30 01:30:00",83874,29.01,51.56,55.5,33.51,33.77,84.2,5.37,0.29,0.203,8.03,0.72,0.23,1,0.02,0.05,0.67,-1.58,0
"2020-11-30 01:36:00",83875,29,51.54,55.47,33.5,33.76,84.1,5.37,0.3,0.209,8.03,0.71,0.22,0.95,0,-0.02,0.62,-1.74,0
