"TOA5","Bocas_MGeo","CR1000X","2444","CR1000X.Std.01.02","CPU:bocaslvl_20191212.CR1X","13142","EXOTable"
"TIMESTAMP","RECORD","WaterTemp","SpCond","Cond","TDS","Salinity","ODOSat","ODO","Pressure","Depth","PH","Turbidity","FCholophyll","MChlorophyll","FAlgae","MAlgae","fDom","QSEfDom","pHmv"
"TS","RN","Celsius","mS/cm","mS/cm","g/l","psu","%","mg/l","psi","m","","FNU","RFU","micro-gram/l","RFU","micro-gram/lPE","RFU","ppbQSE","mv"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-12-30 23:48:00",91297,27.97,50.05,52.89,32.53,32.7,123.1,8.04,0.38,0.259,8.11,0.08,-0.08,-0.33,-0.8,-2.81,0.22,-2.06,0
"2020-12-30 23:54:00",91298,27.97,50.05,52.89,32.53,32.7,122.6,8,0.38,0.261,8.11,0.15,-0.12,-0.48,-0.74,-2.6,0.22,-2.05,0
"2020-12-31 00:00:00",91299,27.97,50.05,52.89,32.53,32.7,123.5,8.06,0.38,0.262,8.11,0.35,-0.06,-0.23,-0.75,-2.63,0.28,-1.87,0
"2020-12-31 00:06:00",91300,27.97,50.05,52.89,32.53,32.7,120.1,7.84,0.38,0.262,8.1,0.2,-0.04,-0.15,-0.6,-2.09,0.14,-2.29,0
"2020-12-31 00:12:00",91301,27.97,50.06,52.9,32.54,32.7,118,7.71,0.38,0.264,8.1,0.07,-0.08,-0.32,-0.74,-2.58,0.15,-2.27,0
"2020-12-31 00:18:00",91302,27.97,50.06,52.89,32.54,32.7,117.7,7.68,0.38,0.265,8.1,0.1,-0.11,-0.46,-0.73,-2.56,0.19,-2.14,0
"2020-12-31 00:24:00",91303,27.96,50.06,52.89,32.54,32.7,116.9,7.63,0.39,0.268,8.09,0.02,-0.05,-0.21,-0.7,-2.43,0.18,-2.17,0
"2020-12-31 00:30:00",91304,27.96,50.06,52.89,32.54,32.7,114.5,7.47,0.39,0.267,8.09,0.08,-0.11,-0.45,-0.82,-2.88,0.29,-1.84,0
"2020-12-31 00:36:00",91305,27.96,50.06,52.89,32.54,32.7,115.6,7.55,0.4,0.274,8.09,0.15,-0.04,-0.15,-0.68,-2.36,0.34,-1.69,0
"2020-12-31 00:42:00",91306,27.96,50.05,52.88,32.54,32.7,117.5,7.67,0.39,0.27,8.1,0.54,-0.05,-0.2,-0.62,-2.16,0.31,-1.79,0
"2020-12-31 00:48:00",91307,27.95,50.05,52.88,32.53,32.7,120.6,7.88,0.39,0.271,8.1,0.39,0.08,0.35,-0.33,-1.09,0.3,-1.83,0
"2020-12-31 00:54:00",91308,27.95,50.05,52.87,32.53,32.7,119,7.77,0.39,0.273,8.1,0.15,0.01,0.06,-0.55,-1.91,0.15,-2.26,0
"2020-12-31 01:00:00",91309,27.95,50.06,52.88,32.54,32.7,115.5,7.54,0.4,0.276,8.09,0.34,0.02,0.09,-0.6,-2.09,0.3,-1.81,0
"2020-12-31 01:06:00",91310,27.94,50.06,52.88,32.54,32.71,113,7.38,0.4,0.277,8.08,1.07,-0.09,-0.38,-0.68,-2.36,0.27,-1.91,0
"2020-12-31 01:12:00",91311,27.94,50.06,52.86,32.54,32.7,111.7,7.3,0.4,0.277,8.08,0.23,-0.12,-0.5,-0.68,-2.37,0.25,-1.96,0
"2020-12-31 01:18:00",91312,27.93,50.06,52.86,32.54,32.7,110.6,7.23,0.4,0.278,8.08,0.06,-0.09,-0.39,-0.7,-2.44,0.29,-1.84,0
"2020-12-31 01:24:00",91313,27.92,50.06,52.85,32.54,32.7,111.4,7.28,0.41,0.284,8.08,0.12,-0.01,-0.05,-0.49,-1.68,0.31,-1.8,0
"2020-12-31 01:30:00",91314,27.92,50.06,52.85,32.54,32.7,110.1,7.19,0.41,0.284,8.07,0.03,-0.07,-0.29,-0.58,-1.99,0.35,-1.67,0
"2020-12-31 01:36:00",91315,27.92,50.06,52.85,32.54,32.7,108.5,7.09,0.41,0.285,8.08,0.13,-0.12,-0.48,-0.76,-2.64,0.27,-1.9,0
