"TOA5","MGEO_SERC","CR1000X","2443","CR1000X.Std.04.02","CPU:M_GEOSERCv21.CR1X","39106","MetTable"
"TIMESTAMP","RECORD","Wind_Direction","Wind_Speed","Maximum_Wind_Speed","Air_Temperature","Relative_Humidity","Barometric_Pressure_WXT520","Daily_Rain","Rain_Intensity","PAR_Den_A","PAR_Den_B","Barometric_Pressure_PB110B"
"TS","RN","degrees","mph","mph","Celsius","%","bar","in","in/hr","micromols/s/m^2","micromols/s/m^2","mbar"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-12-31 00:00:00",14750,208,8.6,9.3,8.6,75.8,1.018,38.756,0,0.408641,0.4317559,1006.113
"2020-12-31 00:06:00",14751,210,12.7,13.7,8.5,76,1.018,38.756,0,0.4112332,0.4327197,1006.113
"2020-12-31 00:12:00",14752,202,11.1,12.4,8.5,76.1,1.0176,38.756,0,0.3840645,0.4358493,1005.928
"2020-12-31 00:18:00",14753,189,14,16,8.5,76.9,1.0174,38.756,0,0.3937886,0.4300381,1005.535
"2020-12-31 00:24:00",14754,194,14.7,15.5,8.6,76.5,1.0172,38.756,0,0.3998758,0.4263977,1005.304
"2020-12-31 00:30:00",14755,204,11.1,11.7,8.6,76.5,1.0171,38.756,0,0.3963072,0.4117907,1005.315
"2020-12-31 00:36:00",14756,175,7.5,8.5,8.5,76.9,1.0169,38.756,0,0.3842126,0.4095326,1005.016
"2020-12-31 00:42:00",14757,208,10.3,10.8,8.6,77.1,1.0169,38.756,0,0.3691507,0.4236405,1004.981
"2020-12-31 00:48:00",14758,197,8.7,9.3,8.5,77.3,1.017,38.756,0,0.4220576,0.4271646,1004.972
"2020-12-31 00:54:00",14759,212,4.8,5.8,8.4,77.7,1.0169,38.756,0,0.4074936,0.4481412,1004.978
"2020-12-31 01:00:00",14760,221,12.1,12.9,8.5,77.8,1.0169,38.756,0,0.4099814,0.4326979,1004.994
"2020-12-31 01:06:00",14761,201,12.8,13.5,8.6,78,1.017,38.756,0,0.3836847,0.3937936,1004.942
"2020-12-31 01:12:00",14762,214,6.8,8.5,8.7,77.5,1.0168,38.756,0,0.3957673,0.4288371,1004.856
"2020-12-31 01:18:00",14763,199,10.5,11.6,8.7,77.9,1.0167,38.756,0,0.407279,0.4134172,1004.742
"2020-12-31 01:24:00",14764,186,14.6,15.6,8.8,77.9,1.0166,38.756,0,0.406941,0.4210633,1004.675
"2020-12-31 01:30:00",14765,213,9.8,11.1,8.8,77.9,1.0166,38.756,0,0.3917928,0.4233911,1004.797
"2020-12-31 01:36:00",14766,214,15.7,18.1,8.9,78.3,1.0167,38.756,0,0.3908597,0.4164423,1004.854
"2020-12-31 01:42:00",14767,221,12.3,13.4,9,77.8,1.0168,38.756,0,0.3890228,0.435212,1004.889
"2020-12-31 01:48:00",14768,242,6.6,7.5,9.2,77.6,1.0169,38.756,0,0.4163643,0.4208315,1004.87
"2020-12-31 01:54:00",14769,213,13.4,15.5,9.2,77.6,1.0167,38.756,0,0.3588991,0.4053241,1004.782
"2020-12-31 02:00:00",14770,220,13.1,13.9,9.3,77,1.0169,38.756,0,0.3926228,0.4432069,1004.79
"2020-12-31 02:06:00",14771,212,13.1,13.6,9.3,77.1,1.0169,38.756,0,0.398016,0.4693793,1004.922
"2020-12-31 02:12:00",14772,214,7.4,7.8,9.4,76.9,1.017,38.756,0,0.4164749,0.4235429,1005.065
"2020-12-31 02:18:00",14773,237,5.1,7.6,9.3,77,1.0171,38.756,0,0.4113523,0.4276306,1005.038
"2020-12-31 02:24:00",14774,196,11.7,13.9,9.4,77.3,1.0169,38.756,0,0.4037105,0.4371691,1005.034
"2020-12-31 02:30:00",14775,223,18,19.7,9.4,77.7,1.0168,38.756,0,0.4106336,0.4236477,1005.006
"2020-12-31 02:36:00",14776,222,9.6,10.4,9.5,77.4,1.0167,38.756,0,0.3991711,0.4105787,1004.715
"2020-12-31 02:42:00",14777,225,9.3,9.7,9.5,77.7,1.0168,38.756,0,0.3789742,0.424484,1004.788
"2020-12-31 02:48:00",14778,215,11,12.5,9.4,78.3,1.0166,38.756,0,0.422268,0.4354104,1004.791
"2020-12-31 02:54:00",14779,206,12.6,13.6,9.5,78.4,1.0166,38.756,0,0.4060086,0.4214768,1004.812
"2020-12-31 03:00:00",14780,230,5.7,7.3,9.4,78.5,1.0167,38.756,0,0.4164205,0.4110729,1004.721
"2020-12-31 03:06:00",14781,218,8.2,9.1,9.5,79,1.0166,38.756,0,0.3673707,0.4389056,1004.663
"2020-12-31 03:12:00",14782,245,6.9,8.8,9.5,78.9,1.0166,38.756,0,0.4212054,0.4191427,1004.595
"2020-12-31 03:18:00",14783,224,7.5,8.6,9.5,79.3,1.0165,38.756,0,0.3975437,0.4160308,1004.54
"2020-12-31 03:24:00",14784,243,12.1,13.1,9.5,79.5,1.0164,38.756,0,0.4145467,0.415787,1004.431
"2020-12-31 03:30:00",14785,214,10.9,11.6,9.6,79.5,1.0164,38.756,0,0.3925501,0.4029217,1004.461
"2020-12-31 03:36:00",14786,207,8.4,8.9,9.6,79.3,1.0162,38.756,0,0.397317,0.419033,1004.351
"2020-12-31 03:42:00",14787,206,9.3,9.7,9.6,79.9,1.016,38.756,0,0.4267652,0.4115377,1004.211
"2020-12-31 03:48:00",14788,191,10.9,11.6,9.6,80.2,1.0158,38.756,0,0.4262923,0.424148,1003.829
"2020-12-31 03:54:00",14789,200,8.7,9.1,9.7,80.1,1.0157,38.756,0,0.4240994,0.4559755,1003.689
"2020-12-31 04:00:00",14790,205,6.3,7.1,9.8,80.7,1.0158,38.756,0,0.4038717,0.4214719,1003.882
"2020-12-31 04:06:00",14791,198,6.5,7.2,9.9,80.1,1.0158,38.756,0,0.4168201,0.407102,1003.91
"2020-12-31 04:12:00",14792,204,11.2,12.5,10.1,80.7,1.0155,38.756,0,0.403405,0.4317715,1003.598
"2020-12-31 04:18:00",14793,200,13.2,14.4,10.2,80.9,1.0154,38.756,0,0.4130059,0.3917171,1003.389
"2020-12-31 04:24:00",14794,230,8.5,9.5,10.2,80.6,1.0156,38.756,0,0.396795,0.4476151,1003.559
"2020-12-31 04:30:00",14795,234,11.4,13.2,10.3,80.7,1.0156,38.756,0,0.4095905,0.4084958,1003.585
"2020-12-31 04:36:00",14796,236,9.1,10.2,10.2,80.2,1.0158,38.756,0,0.4044682,0.421786,1003.687
"2020-12-31 04:42:00",14797,237,10.2,11.1,10.2,80.7,1.0156,38.756,0,0.378355,0.4197246,1003.676
"2020-12-31 04:48:00",14798,243,7.8,10,10.3,80.8,1.0157,38.756,0,0.4147509,0.3799434,1003.594
"2020-12-31 04:54:00",14799,222,8.5,9.2,10.3,80.9,1.0157,38.756,0,0.4358456,0.4338392,1003.639
"2020-12-31 05:00:00",14800,229,5.9,6.3,10.3,81,1.0156,38.756,0,0.4179028,0.4395697,1003.608
"2020-12-31 05:06:00",14801,220,9.5,10.2,10.5,81,1.0156,38.756,0,0.4133258,0.3990096,1003.61
"2020-12-31 05:12:00",14802,226,11.1,12,10.5,80.8,1.0157,38.756,0,0.4338858,0.4412704,1003.602
"2020-12-31 05:18:00",14803,213,13.5,14.3,10.5,80.7,1.0156,38.756,0,0.3915867,0.4563362,1003.59
"2020-12-31 05:24:00",14804,229,11.9,12.7,10.4,81.3,1.0155,38.756,0,0.42496,0.4136111,1003.61
"2020-12-31 05:30:00",14805,224,13.3,14.3,10.4,81.4,1.0154,38.756,0,0.382348,0.3726571,1003.447
"2020-12-31 05:36:00",14806,195,15.3,16.3,10.4,81.3,1.0152,38.756,0,0.4344262,0.4233942,1003.333
"2020-12-31 05:42:00",14807,216,10.2,12,10.4,81.3,1.0152,38.756,0,0.4271657,0.4519821,1003.198
"2020-12-31 05:48:00",14808,230,7.9,8.7,10.4,81.5,1.0155,38.756,0,0.4067533,0.4136347,1003.398
"2020-12-31 05:54:00",14809,211,10.1,11.7,10.4,81.4,1.0156,38.756,0,0.4305013,0.4234003,1003.601
"2020-12-31 06:00:00",14810,223,10.2,10.8,10.4,81.3,1.0158,38.756,0,0.4079637,0.4109237,1003.74
"2020-12-31 06:06:00",14811,199,9.4,9.9,10.4,81.4,1.0158,38.756,0,0.4309313,0.452023,1003.792
"2020-12-31 06:12:00",14812,214,9.8,10.7,10.2,81.6,1.0159,38.756,0,0.3940011,0.4058434,1003.904
"2020-12-31 06:18:00",14813,208,12.3,13.6,10.1,81.5,1.0161,38.756,0,0.4116431,0.4186338,1004.152
"2020-12-31 06:24:00",14814,215,12.7,13.7,10.1,82,1.0161,38.756,0,0.4492494,0.3986215,1004.23
"2020-12-31 06:30:00",14815,246,8.2,9.2,10,82.1,1.0162,38.756,0,0.4058451,0.4096412,1004.273
"2020-12-31 06:36:00",14816,214,8.3,8.7,10,82.4,1.0162,38.756,0,0.416951,0.4198767,1004.263
"2020-12-31 06:42:00",14817,239,7.1,7.7,10,82.6,1.0162,38.756,0,0.4362082,0.442525,1004.127
"2020-12-31 06:48:00",14818,218,14.1,15.5,9.9,82.8,1.0162,38.756,0,0.4358827,0.4222569,1004.216
"2020-12-31 06:54:00",14819,218,7.2,8.2,10,83.1,1.0164,38.756,0,0.4435484,0.4324863,1004.415
"2020-12-31 07:00:00",14820,222,6.6,7.6,9.9,83.1,1.0166,38.756,0,0.5235398,0.5177976,1004.674
