cols,sensor
Timestamp,water_quality
Temperature,water_quality
Specific Conductivity,water_quality
Conductivity,water_quality
Salinity,water_quality
Dissolved Oxygen,water_quality
Dissolved Oxygen 2,water_quality
Pressure,water_quality
Depth,water_quality
pH,water_quality
Turbidity,water_quality
Chlorophyll,water_quality
Chlorophyll 2,water_quality
BGA-PE,water_quality
BGA-PE 2,water_quality
FDOM,water_quality
FDOM 2,water_quality
Battery,water_quality
Site,water_quality
TDS,water_quality
Timestamp,met
Air Temperature,met
Wind Speed,met
Wind Gust,met
Wind Direction,met
Relative Humidity,met
Daily Rain,met
Rain Rate,met
Solar Radiation,met
Barometric Pressure,met
Site,met
PAR,met
Level,water_level
Level 2,water_level
Level 3,water_level
Pressure,water_level
Pressure 2,water_level
Enclosure Temperature,water_level
Status,water_level
PRS Level,water_level
RLR Level,water_level
Upper Switch,water_level
Lower Switch,water_level
