TIMESTAMP,RECORD,Wind_Direction,Wind_Speed,Maximum_Wind_Speed,Air_Temperature,Relative_Humidity,Barometric_Pressure_WXT520,Daily_Rain,Rain_Intensity,PAR_Den_A,PAR_Den_B,Barometric_Pressure_PB110B
2021-02-01T00:00:00Z,22430,342,6.3,8.6,-0.8,89.7,1.0107,40.453,0,0.4385762,0.4120764,998.6495
2021-02-01T00:06:00Z,22431,1,8.9,10,-0.9,89.5,1.0105,40.453,0,0.4322987,0.3628217,998.5225
2021-02-01T00:12:00Z,22432,6,12.5,14.3,-0.9,89.6,1.0106,40.453,0,0.4277408,0.4064507,998.4272
2021-02-01T00:18:00Z,22433,3,14.4,15.5,-0.9,89.4,1.0104,40.453,0,0.4317458,0.4228865,998.5094
2021-02-01T00:24:00Z,22434,349,14.8,16.6,-0.9,89.3,1.0102,40.453,0,0.4182505,0.3849118,998.3046
2021-02-01T00:30:00Z,22435,354,9.6,14.3,-1,89.5,1.0101,40.453,0,0.4309532,0.3456485,998.0889
2021-02-01T00:36:00Z,22436,352,10.5,11.5,-0.9,89.2,1.0101,40.453,0,0.4160702,0.3202724,997.9886
2021-02-01T00:42:00Z,22437,296,7.1,9.9,-0.9,89.3,1.01,40.453,0,0.4068871,0.384378,997.9193
2021-02-01T00:48:00Z,22438,36,12.5,13.2,-0.9,89.2,1.0096,40.453,0,0.4060459,0.3490917,997.817
2021-02-01T00:54:00Z,22439,5,15.5,17.6,-0.9,88.9,1.0096,40.453,0,0.4243872,0.400924,997.5498
2021-02-01T01:00:00Z,22440,0,0,0,-0.9,88.9,1.0094,40.453,0,0.411549,0.3248354,997.3824
2021-02-01T01:06:00Z,22441,358,6.5,7.4,-0.9,88.6,1.0095,40.453,0,0.4252838,0.3940093,997.197
2021-02-01T01:12:00Z,22442,0,0,0,-0.9,88.6,1.0093,40.453,0,0.3943067,0.326066,997.1269
2021-02-01T01:18:00Z,22443,0,0,0,-0.9,88.6,1.0093,40.453,0,0.4102837,0.3490158,997.1368
2021-02-01T01:24:00Z,22444,0,0,0,-0.9,88.6,1.0093,40.453,0,0.4214567,0.3999192,997.1289
2021-02-01T01:30:00Z,22445,0,0,0,-0.9,88.3,1.0091,40.453,0,0.4096508,0.3493349,997.0004
2021-02-01T01:36:00Z,22446,0,0,0,-0.9,88.3,1.009,40.453,0,0.393189,0.3413466,996.9524
2021-02-01T01:42:00Z,22447,0,0,0,-0.9,88.1,1.0089,40.453,0,0.3942575,0.3463971,996.787
2021-02-01T01:48:00Z,22448,0,0,0,-0.9,88.1,1.0086,40.453,0,0.4366467,0.3320803,996.674
2021-02-01T01:54:00Z,22449,0,0,0,-0.9,88.2,1.0085,40.453,0,0.3932313,0.3885687,996.2834
2021-02-01T02:00:00Z,22450,0,0,0,-0.8,88.1,1.0085,40.453,0,0.3892634,0.2954122,996.3931
2021-02-01T02:06:00Z,22451,0,0,0,-0.8,88,1.0086,40.453,0,0.3921504,0.3428033,996.4688
2021-02-01T02:12:00Z,22452,0,0,0,-0.9,87.9,1.0086,40.453,0,0.4181449,0.3664141,996.4686
2021-02-01T02:18:00Z,22453,0,0,0,-0.8,87.9,1.0084,40.453,0,0.3885505,0.3622575,997.4991
2021-02-01T02:24:00Z,22454,0,0,0,-0.8,87.9,1.0084,40.453,0,0.4141281,0.3838139,997.3594
2021-02-01T02:30:00Z,22455,0,0,0,-0.8,87.9,1.0083,40.453,0,0.3975865,0.3344549,997.2786
2021-02-01T02:36:00Z,22456,0,0,0,-0.7,87.8,1.0081,40.453,0,0.396032,0.3926672,997.2982
2021-02-01T02:42:00Z,22457,0,0,0,-0.7,87.9,1.0079,40.453,0,0.3802026,0.3444923,997.0154
2021-02-01T02:48:00Z,22458,51,9.8,13.4,-0.6,88,1.0078,40.453,0,0.3724939,0.3499438,996.8037
2021-02-01T02:54:00Z,22459,29,17.4,18.1,-0.6,88,1.0077,40.453,0,0.3914619,0.3470468,996.9565
2021-02-01T03:00:00Z,22460,27,10.5,12.2,-0.5,87.8,1.0076,40.453,0,0.3876474,0.3502863,995.6827
2021-02-01T03:06:00Z,22461,44,8.2,10,-0.4,87.7,1.0076,40.453,0,0.3510195,0.337926,995.4302
2021-02-01T03:12:00Z,22462,26,11.9,16.5,-0.5,87.8,1.0074,40.453,0,0.3543488,0.3049794,996.5658
2021-02-01T03:18:00Z,22463,2,15.2,17.5,-0.4,88,1.0076,40.453,0,0.3776104,0.3003,996.4462
2021-02-01T03:24:00Z,22464,356,14.6,16.4,-0.4,87.8,1.0073,40.453,0,0.3799938,0.3346924,996.3395
2021-02-01T03:30:00Z,22465,6,11.5,14.2,-0.4,87.8,1.0072,40.453,0,0.3717813,0.3097807,995.0817
2021-02-01T03:36:00Z,22466,26,9.5,11,-0.4,87.8,1.0073,40.453,0,0.3592011,0.3140532,995.1176
2021-02-01T03:42:00Z,22467,69,9.3,12.6,-0.4,87.9,1.0073,40.453,0,0.3517132,0.2887059,996.4152
2021-02-01T03:48:00Z,22468,55,5.7,8.1,-0.3,88,1.0074,40.453,0,0.3810498,0.2745751,996.296
2021-02-01T03:54:00Z,22469,35,10,11,-0.2,88,1.0074,40.453,0,0.3663754,0.2970254,996.4059
2021-02-01T04:00:00Z,22470,335,15.4,19.7,-0.1,88,1.0071,40.453,0,0.3387647,0.2982328,996.4359
2021-02-01T04:06:00Z,22471,356,8.2,10,0,88.1,1.0071,40.453,0,0.3320327,0.281716,996.2269
2021-02-01T04:12:00Z,22472,34,7.9,11.9,0,88,1.0071,40.453,0,0.3393607,0.3172113,995.9822
2021-02-01T04:18:00Z,22473,24,12.6,14.9,0,88.2,1.0071,40.453,0,0.3299689,0.2465632,995.9673
2021-02-01T04:24:00Z,22474,26,6.1,8.1,0.1,88.5,1.0071,40.454,0,0.3131201,0.3320215,996.0635
2021-02-01T04:30:00Z,22475,24,5.7,7.6,0.1,88.1,1.0071,40.454,0,0.3271001,0.2735822,996.145
2021-02-01T04:36:00Z,22476,28,8.8,9.8,0.2,88.2,1.007,40.454,0,0.3083476,0.3114003,994.8248
2021-02-01T04:42:00Z,22477,61,4,6.1,0.2,88.4,1.0071,40.454,0,0.3072353,0.2628826,994.7876
2021-02-01T04:48:00Z,22478,14,5.7,6.7,0.2,88.3,1.0071,40.454,0,0.3154844,0.3119569,995.9957
2021-02-01T04:54:00Z,22479,241,2.1,3,0.3,88.3,1.0071,40.454,0,0.3080523,0.2897624,994.9794
2021-02-01T05:00:00Z,22480,25,9.5,10.3,0.3,88.3,1.007,40.454,0,0.3195264,0.3327644,994.6805
2021-02-01T05:06:00Z,22481,12,4.5,6.8,0.3,88.7,1.007,40.454,0,0.3352761,0.2938556,995.8695
2021-02-01T05:12:00Z,22482,353,2.7,4.5,0.3,88.5,1.0072,40.454,0,0.3084579,0.2783489,995.0122
2021-02-01T05:18:00Z,22483,357,6.7,8,0.3,88.3,1.0074,40.454,0,0.3014185,0.2839744,995.0568
2021-02-01T05:24:00Z,22484,28,2.4,4,0.2,88.4,1.0073,40.454,0,0.3207796,0.3406078,995.1241
2021-02-01T05:30:00Z,22485,333,5,6.8,0.2,88.3,1.0073,40.454,0,0.3269956,0.3359747,995.1718
2021-02-01T05:36:00Z,22486,354,5.3,6.5,0.2,88.6,1.0074,40.454,0,0.2965473,0.276572,996.5127
2021-02-01T05:42:00Z,22487,61,2.8,4.2,0.1,88.5,1.0075,40.454,0,0.315491,0.3115277,995.2107
2021-02-01T05:48:00Z,22488,315,3,3.7,0.1,88.2,1.0074,40.454,0,0.320718,0.2591263,995.29
2021-02-01T05:54:00Z,22489,356,3.6,4.7,0.1,88.3,1.0073,40.454,0,0.3093732,0.2532456,996.2617
2021-02-01T06:00:00Z,22490,36,6.3,8.3,0.1,88.4,1.0072,40.454,0,0.2781568,0.253884,994.944
2021-02-01T06:06:00Z,22491,49,7.3,8.2,0.1,88.2,1.0071,40.454,0,0.308378,0.3023782,995.025
2021-02-01T06:12:00Z,22492,336,5.2,5.8,0.1,88.2,1.0071,40.454,0,0.2888452,0.250581,994.8795
2021-02-01T06:18:00Z,22493,0,0,0,0.1,88.2,1.007,40.454,0,0.3108353,0.2612633,995.9474
2021-02-01T06:24:00Z,22494,0,0,0,0.1,88.2,1.0072,40.454,0,0.287727,0.2706391,994.9655
2021-02-01T06:30:00Z,22495,300,5,5.8,0.1,88.2,1.0072,40.454,0,0.2933291,0.2747496,994.9395
2021-02-01T06:36:00Z,22496,310,6.7,7.5,0.1,88.1,1.0071,40.454,0,0.3068734,0.311261,994.8774
2021-02-01T06:42:00Z,22497,2,9.7,10.9,0.2,88.3,1.0071,40.454,0,0.2557004,0.3028316,994.892
2021-02-01T06:48:00Z,22498,321,5.5,6.4,0.2,88.5,1.0071,40.454,0,0.3287532,0.3089622,994.9126
2021-02-01T06:54:00Z,22499,351,7.4,9.5,0.1,88.2,1.0069,40.454,0,0.3791891,0.3885218,994.8541
2021-02-01T07:00:00Z,22500,34,3.6,4.8,0.2,88.3,1.007,40.454,0,0.6149327,0.6153874,996.029
2021-02-01T07:06:00Z,22501,332,4.1,4.7,0.2,88.6,1.0072,40.454,0,1.068957,1.095325,996.1191
2021-02-01T07:12:00Z,22502,306,4,5.9,0.2,88.4,1.007,40.454,0,1.478503,1.576777,994.8746
2021-02-01T07:18:00Z,22503,2,5.6,6.7,0.2,88.1,1.0071,40.454,0,2.56074,2.756581,996.162
2021-02-01T07:24:00Z,22504,55,2.7,3.3,0.1,88,1.0071,40.454,0,4.588447,4.793999,996.1235
2021-02-01T07:30:00Z,22505,332,4.7,5.2,0.1,88.3,1.007,40.454,0,7.797308,8.219263,996.0518
2021-02-01T07:36:00Z,22506,79,3.1,4.2,0.1,88.3,1.007,40.454,0,11.62355,12.52693,994.6853
2021-02-01T07:42:00Z,22507,325,1.9,2.9,0.1,88.4,1.0069,40.454,0,12.89068,13.71961,995.8569
2021-02-01T07:48:00Z,22508,357,6.3,7.4,0.2,88.5,1.0068,40.454,0,17.63934,18.56392,994.5835
2021-02-01T07:54:00Z,22509,350,2.8,3.6,0.2,88.5,1.0068,40.454,0,20.96848,22.11947,995.7113
2021-02-01T08:00:00Z,22510,339,4.3,5.1,0.2,88.2,1.0067,40.454,0,22.21526,23.42819,994.4835
2021-02-01T08:06:00Z,22511,342,6.2,8,0.2,88.4,1.0067,40.454,0,22.14335,23.2786,994.4958
2021-02-01T08:12:00Z,22512,5,3.9,4.7,0.2,88.4,1.0067,40.454,0,37.36161,39.23299,994.4502
2021-02-01T08:18:00Z,22513,310,4.7,6,0.2,88.5,1.0067,40.454,0,39.63933,41.44056,995.6289
2021-02-01T08:24:00Z,22514,31,5.7,6.5,0.2,88.4,1.0067,40.454,0,26.57597,27.93213,994.5229
2021-02-01T08:30:00Z,22515,351,3.7,4.7,0.2,88.1,1.0068,40.454,0,22.30378,23.68242,995.7668
2021-02-01T08:36:00Z,22516,18,7.2,8.9,0.3,88.3,1.0068,40.454,0,22.30012,22.41981,994.6626
2021-02-01T08:42:00Z,22517,336,1.8,2.7,0.3,88.5,1.007,40.454,0,31.69143,31.38886,994.7649
2021-02-01T08:48:00Z,22518,323,2.6,2.9,0.3,88.3,1.0072,40.454,0,37.53603,36.40356,994.8207
2021-02-01T08:54:00Z,22519,35,1.8,2.8,0.4,88.2,1.0072,40.454,0,47.13879,46.55268,994.9315
2021-02-01T09:00:00Z,22520,332,4.7,5.3,0.3,88.4,1.0072,40.461,0.06,58.86797,58.40254,994.9961
2021-02-01T09:06:00Z,22521,319,4.3,4.8,0.3,88.5,1.0072,40.468,0.04,63.13124,62.46248,996.1274
2021-02-01T09:12:00Z,22522,307,6.8,7.3,0.4,88.2,1.0072,40.471,0.02,63.41595,63.38029,996.1711
2021-02-01T09:18:00Z,22523,335,3.5,4,0.4,88.2,1.0071,40.472,0,92.52174,92.10534,996.1194
2021-02-01T09:24:00Z,22524,46,7.6,8.5,0.4,88.3,1.007,40.473,0,98.37469,97.99706,994.8052
2021-02-01T09:30:00Z,22525,355,2.5,4,0.4,88.3,1.007,40.473,0,87.38079,87.28422,994.746
2021-02-01T09:36:00Z,22526,11,7.2,7.8,0.4,88.5,1.0068,40.473,0,86.87177,86.69045,994.7323
2021-02-01T09:42:00Z,22527,314,1.9,3.8,0.4,88.5,1.0068,40.473,0,85.73335,86.49725,995.7571
2021-02-01T09:48:00Z,22528,330,7.2,8.5,0.4,88.3,1.0067,40.473,0,96.7434,97.94327,994.5056
2021-02-01T09:54:00Z,22529,349,8.2,8.9,0.4,88.3,1.0067,40.473,0,96.08581,97.98318,994.4408
2021-02-01T10:00:00Z,22530,355,6,7,0.4,88.1,1.0067,40.473,0,102.777,104.6624,995.6506
2021-02-01T10:06:00Z,22531,340,3,4,0.4,88.4,1.0068,40.473,0,87.51133,89.10419,994.5482
2021-02-01T10:12:00Z,22532,337,2.3,2.7,0.4,88.4,1.0068,40.473,0,80.4747,81.30019,994.5582
2021-02-01T10:18:00Z,22533,28,6.1,6.9,0.4,88.3,1.0067,40.473,0,90.29425,91.07769,994.5319
2021-02-01T10:24:00Z,22534,9,2.7,3.1,0.4,88.5,1.0067,40.473,0,100.2658,100.8056,994.5289
2021-02-01T10:30:00Z,22535,353,4.8,5.8,0.4,88.3,1.0067,40.473,0,135.7034,133.7166,995.7286
2021-02-01T10:36:00Z,22536,218,1.6,2,0.5,88.4,1.0067,40.473,0,139.6969,138.4268,994.4832
2021-02-01T10:42:00Z,22537,347,4.3,5.5,0.5,88.5,1.0067,40.473,0,145.1138,144.2213,995.7106
2021-02-01T10:48:00Z,22538,334,6.4,7.4,0.5,88.4,1.0067,40.487,0.18,158.3641,157.0806,995.7192
2021-02-01T10:54:00Z,22539,279,2.4,3.4,0.5,88.3,1.0067,40.498,0.13,213.2986,210.3664,994.4731
2021-02-01T11:00:00Z,22540,349,4.5,4.9,0.5,88.1,1.0066,40.507,0.08,202.8847,197.2941,995.5537
2021-02-01T11:06:00Z,22541,347,4.4,4.8,0.5,88.1,1.0066,40.511,0.02,186.475,181.913,994.3303
2021-02-01T11:12:00Z,22542,45,3.9,5.6,0.4,88.1,1.0065,40.513,0.03,180.1501,175.8186,994.2678
2021-02-01T11:18:00Z,22543,0,0,0,0.4,88.1,1.0064,40.517,0.03,195.7328,190.5255,994.1721
2021-02-01T11:24:00Z,22544,0,0,0,0.4,88.2,1.0063,40.519,0.01,223.0938,219.4419,994.0846
2021-02-01T11:30:00Z,22545,0,0,0,0.4,88.2,1.0062,40.519,0,190.2897,186.0337,993.9852
2021-02-01T11:36:00Z,22546,0,0,0,0.4,88.2,1.0062,40.519,0,181.0917,175.2888,993.8898
2021-02-01T11:42:00Z,22547,0,0,0,0.4,88,1.0061,40.52,0,188.0687,182.0054,993.8744
2021-02-01T11:48:00Z,22548,0,0,0,0.3,88.4,1.006,40.52,0,195.7901,189.4362,993.7385
2021-02-01T11:54:00Z,22549,0,0,0,0.4,88.2,1.0059,40.52,0,259.8114,248.6513,994.8673
2021-02-01T12:00:00Z,22550,0,0,0,0.4,88.2,1.0058,40.52,0,273.4758,263.6965,993.5788
2021-02-01T12:06:00Z,22551,328,5.6,7.4,0.3,88.9,1.0056,40.52,0,352.8141,337.9074,993.5551
2021-02-01T12:12:00Z,22552,0,0,0,0.4,88.2,1.0057,40.52,0,307.751,288.4309,994.6063
2021-02-01T12:18:00Z,22553,0,0,0,0.4,88.4,1.0056,40.521,0,219.1128,210.2794,993.4291
2021-02-01T12:24:00Z,22554,0,0,0,0.5,88.4,1.0055,40.521,0,235.7958,224.7722,993.3344
2021-02-01T12:30:00Z,22555,0,0,0,0.5,88.3,1.0055,40.521,0,184.9338,178.0284,993.3138
2021-02-01T12:36:00Z,22556,0,0,0,0.5,88.3,1.0055,40.521,0,180.8425,173.3375,994.5465
