"TOA5","MGEO_SERC","CR1000X","2443","CR1000X.Std.04.02","CPU:M_GEOSERCv21.CR1X","39106","LevelTable"
"TIMESTAMP","RECORD","Level_m_CBS","Pressure_mbar_CBS","Temperature_CBS","Status_CBS"
"TS","RN","m","mbar","Celsius","na"
"","","Smp","Smp","Smp","Smp"
"2020-12-31 00:00:00",14750,1.55,152.01,15,0
"2020-12-31 00:06:00",14751,1.552,152.18,15,0
"2020-12-31 00:12:00",14752,1.554,152.36,15.1,0
"2020-12-31 00:18:00",14753,1.555,152.49,15.1,0
"2020-12-31 00:24:00",14754,1.558,152.76,15.2,0
"2020-12-31 00:30:00",14755,1.561,153.11,15.2,0
"2020-12-31 00:36:00",14756,1.564,153.34,15.2,0
"2020-12-31 00:42:00",14757,1.567,153.71,15.3,0
"2020-12-31 00:48:00",14758,1.57,153.96,15.3,0
"2020-12-31 00:54:00",14759,1.573,154.28,15.4,0
"2020-12-31 01:00:00",14760,1.576,154.59,15.4,0
"2020-12-31 01:06:00",14761,1.58,154.95,15.4,0
"2020-12-31 01:12:00",14762,1.583,155.26,15.5,0
"2020-12-31 01:18:00",14763,1.586,155.56,15.5,0
"2020-12-31 01:24:00",14764,1.59,155.9,15.5,0
"2020-12-31 01:30:00",14765,1.592,156.13,15.6,0
"2020-12-31 01:36:00",14766,1.595,156.45,15.6,0
"2020-12-31 01:42:00",14767,1.599,156.85,15.6,0
"2020-12-31 01:48:00",14768,1.605,157.39,15.7,0
"2020-12-31 01:54:00",14769,1.617,158.58,15.7,0
"2020-12-31 02:00:00",14770,1.621,159,15.7,0
"2020-12-31 02:06:00",14771,1.626,159.44,15.8,0
"2020-12-31 02:12:00",14772,1.629,159.76,15.8,0
"2020-12-31 02:18:00",14773,1.634,160.24,15.8,0
"2020-12-31 02:24:00",14774,1.639,160.76,15.8,0
"2020-12-31 02:30:00",14775,1.643,161.13,15.9,0
"2020-12-31 02:36:00",14776,1.648,161.59,15.9,0
"2020-12-31 02:42:00",14777,1.652,162.02,15.9,0
"2020-12-31 02:48:00",14778,1.656,162.44,16,0
"2020-12-31 02:54:00",14779,1.661,162.85,16,0
"2020-12-31 03:00:00",14780,1.665,163.24,16,0
"2020-12-31 03:06:00",14781,1.668,163.6,16.1,0
"2020-12-31 03:12:00",14782,1.672,164.01,16.1,0
"2020-12-31 03:18:00",14783,1.677,164.42,16.1,0
"2020-12-31 03:24:00",14784,1.679,164.7,16.2,0
"2020-12-31 03:30:00",14785,1.683,165.09,16.2,0
"2020-12-31 03:36:00",14786,1.686,165.39,16.2,0
"2020-12-31 03:42:00",14787,1.69,165.76,16.2,0
"2020-12-31 03:48:00",14788,1.695,166.27,16.3,0
"2020-12-31 03:54:00",14789,1.7,166.67,16.3,0
"2020-12-31 04:00:00",14790,1.705,167.21,16.3,0
"2020-12-31 04:06:00",14791,1.71,167.69,16.3,0
"2020-12-31 04:12:00",14792,1.713,167.98,16.4,0
"2020-12-31 04:18:00",14793,1.717,168.36,16.4,0
"2020-12-31 04:24:00",14794,1.718,168.47,16.4,0
"2020-12-31 04:30:00",14795,1.719,168.6,16.4,0
"2020-12-31 04:36:00",14796,1.721,168.8,16.5,0
"2020-12-31 04:42:00",14797,1.721,168.79,16.5,0
"2020-12-31 04:48:00",14798,1.722,168.88,16.5,0
"2020-12-31 04:54:00",14799,1.723,169.02,16.5,0
"2020-12-31 05:00:00",14800,1.722,168.91,16.5,0
"2020-12-31 05:06:00",14801,1.721,168.74,16.6,0
"2020-12-31 05:12:00",14802,1.718,168.5,16.6,0
"2020-12-31 05:18:00",14803,1.714,168.11,16.6,0
"2020-12-31 05:24:00",14804,1.712,167.93,16.6,0
"2020-12-31 05:30:00",14805,1.71,167.67,16.7,0
"2020-12-31 05:36:00",14806,1.706,167.33,16.7,0
"2020-12-31 05:42:00",14807,1.704,167.1,16.7,0
"2020-12-31 05:48:00",14808,1.701,166.84,16.7,0
"2020-12-31 05:54:00",14809,1.699,166.63,16.7,0
"2020-12-31 06:00:00",14810,1.696,166.3,16.8,0
"2020-12-31 06:06:00",14811,1.685,165.23,16.8,0
"2020-12-31 06:12:00",14812,1.68,164.79,16.8,0
"2020-12-31 06:18:00",14813,1.677,164.5,16.8,0
"2020-12-31 06:24:00",14814,1.667,163.44,16.8,0
"2020-12-31 06:30:00",14815,1.661,162.94,16.8,0
"2020-12-31 06:36:00",14816,1.656,162.42,16.9,0
