TIMESTAMP,RECORD,WaterTemp,SpCond,Cond,TDS,Salinity,ODOSat,ODO,Pressure,Depth,PH,Turbidity,FCholophyll,MChlorophyll,FAlgae,MAlgae,fDom,QSEfDom,pHmv
2021-02-01T00:00:00Z,98979,27.6,50.33,52.83,32.71,32.91,97,6.36,0.46,0.315,8,0.44,-0.04,0.33,-0.48,-2.1,0.31,-2.14,0
2021-02-01T00:06:00Z,98980,27.6,50.32,52.82,32.71,32.91,97.1,6.37,0.47,0.321,8,0.4,-0.03,0.36,-0.43,-1.93,0.33,-2.07,0
2021-02-01T00:12:00Z,98981,27.61,50.33,52.83,32.71,32.91,96,6.3,0.47,0.327,8,0.52,-0.03,0.35,-0.49,-2.12,0.33,-2.07,0
2021-02-01T00:18:00Z,98982,27.61,50.33,52.84,32.72,32.91,95.8,6.28,0.48,0.331,8,0.54,-0.04,0.33,-0.42,-1.87,0.31,-2.12,0
2021-02-01T00:24:00Z,98983,27.61,50.34,52.84,32.72,32.92,95.6,6.27,0.49,0.337,8,0.51,-0.03,0.33,-0.42,-1.88,0.3,-2.18,0
2021-02-01T00:30:00Z,98984,27.6,50.33,52.83,32.71,32.91,95.5,6.27,0.49,0.335,8,0.52,0.01,0.61,-0.41,-1.84,0.32,-2.11,0
2021-02-01T00:36:00Z,98985,27.61,50.33,52.84,32.72,32.92,94.7,6.21,0.49,0.34,7.99,0.48,-0.04,0.3,-0.48,-2.1,0.3,-2.15,0
2021-02-01T00:42:00Z,98986,27.6,50.33,52.83,32.71,32.91,94.6,6.21,0.5,0.347,7.99,0.5,-0.05,0.25,-0.46,-2.01,0.3,-2.18,0
2021-02-01T00:48:00Z,98987,27.6,50.33,52.83,32.72,32.91,95,6.23,0.51,0.35,7.99,0.51,-0.06,0.19,-0.46,-2.04,0.33,-2.06,0
2021-02-01T00:54:00Z,98988,27.6,50.33,52.83,32.71,32.91,93.9,6.16,0.51,0.351,7.99,0.47,-0.12,-0.14,-0.58,-2.48,0.37,-1.97,0
2021-02-01T01:00:00Z,98989,27.59,50.33,52.83,32.72,32.92,93.5,6.13,0.52,0.359,7.99,0.5,-0.13,-0.21,-0.6,-2.54,0.38,-1.93,0
2021-02-01T01:06:00Z,98990,27.59,50.33,52.83,32.72,32.91,93,6.1,0.53,0.364,7.99,0.47,-0.1,-0.01,-0.57,-2.42,0.36,-1.98,0
2021-02-01T01:12:00Z,98991,27.59,50.33,52.82,32.72,32.92,93,6.1,0.53,0.369,7.99,0.48,-0.11,-0.06,-0.62,-2.61,0.31,-2.12,0
2021-02-01T01:18:00Z,98992,27.58,50.33,52.82,32.72,32.92,93,6.1,0.54,0.372,7.99,0.46,-0.14,-0.25,-0.7,-2.91,0.36,-1.99,0
2021-02-01T01:24:00Z,98993,27.58,50.33,52.81,32.72,32.92,93.2,6.12,0.54,0.373,7.99,0.49,-0.13,-0.18,-0.67,-2.81,0.35,-2,0
2021-02-01T01:30:00Z,98994,27.56,50.34,52.8,32.72,32.92,92.8,6.09,0.56,0.384,7.99,0.77,-0.15,-0.31,-0.68,-2.84,0.37,-1.95,0
2021-02-01T01:36:00Z,98995,27.55,50.33,52.78,32.72,32.92,92.8,6.1,0.55,0.378,7.99,0.49,-0.13,-0.2,-0.67,-2.81,0.32,-2.09,0
2021-02-01T01:42:00Z,98996,27.54,50.34,52.78,32.72,32.92,92.8,6.1,0.56,0.386,7.99,0.43,-0.1,-0.05,-0.59,-2.49,0.3,-2.16,0
2021-02-01T01:48:00Z,98997,27.53,50.33,52.76,32.72,32.92,93.7,6.15,0.57,0.394,7.99,0.46,-0.1,-0.02,-0.6,-2.54,0.37,-1.95,0
