"TOA5","GCREW_MARSH_OUTLET","CR300","11122","CR300-WIFI.Std.07.02","CPU:GCREW_SONDEV1.CR300","43526","ExoTable"
"TIMESTAMP","RECORD","Date","Time","Chlorophyll_RFU","Chlorophyll_ugL","Conductivity","FDOM_QSU","FDOM_RFU","NLF_conductivity","ODO_sat","ODO_local","ODO_MgL","Pressure_psia","Salinity_PPT","Specific_Conductivity_uScm","BGA_PE_RFU","BGA_PE_ugL","TDS_mg_L","Turbidity_FNU","Wiper_Position_mv","pH","pH_mv","Temp_C","Depth_m","Battery_v","Cable_v","Wiper_Current_ma","sn","snn"
"TS","RN","mmddyy","hhmmss","RFU","ug/L","uS/cm","QSU","RFU","uS/cm","%Sat","%SatLocal","mg/L","psia","ppt","uS/cm","RFU","ug/L","mg/L","FNU","mv","pH","mv","Celcius","meters","volts","volts","ma","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-12-30 02:00:00",69818,7999,7999,1.02,3.65,7.601,72.59,19.4,13.28,3.37,3.37,0.43,1.47,7.44,13.13,0.12,4.95,7999,31.94,0,0.61,-327.1,2.946,1.029,5.86,14.55,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 02:15:00",69819,7999,7999,1.04,3.74,7.652,71.34,19.06,13.31,3.35,3.35,0.43,1.5,7.45,13.16,0.26,5.34,7999,32.09,0,0.64,-327.7,3.097,1.048,5.86,14.17,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 02:30:00",69820,7999,7999,1.18,4.22,7.765,69.47,18.55,13.46,8.9,8.9,1.13,1.51,7.55,13.3,0.46,5.89,7999,31.73,0,0.72,-330,3.209,1.054,5.86,12.88,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 02:45:00",69821,7999,7999,1.51,5.33,8.02,62.3,16.59,13.8,23,23,2.9,1.53,7.75,13.63,1.48,8.76,7999,30.32,0,0.86,-333.9,3.446,1.071,5.86,12.56,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 03:00:00",69822,7999,7999,4.82,16.79,8.73,45.93,12.12,14.82,44.38,44.38,5.52,1.56,8.38,14.63,8.37,28.01,7999,26.34,0,1.14,-342,3.876,1.089,5.86,14.65,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 03:15:00",69823,7999,7999,7.23,25.09,9.27,35.62,9.3,15.48,62.59,62.59,7.65,1.57,8.79,15.27,14.24,44.41,7999,21.21,0,1.54,-353.4,4.442,1.098,5.86,14.27,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 03:30:00",69824,7999,7999,9.16,31.75,9.47,33.39,8.69,15.64,78.39,78.39,9.48,1.56,8.9,15.42,18.34,55.88,7999,1172,0,1.81,-361.2,4.808,1.089,5.86,12.52,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 03:45:00",69825,7999,7999,8.72,30.26,9.62,33.2,8.64,15.81,77.39,77.39,9.32,1.57,9.01,15.59,18.06,55.11,7999,21.45,0,2.15,-371.3,4.946,1.096,5.86,14.43,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 04:00:00",69826,7999,7999,10.13,35.12,9.59,33.74,8.79,15.77,63.13,63.13,7.61,1.56,8.98,15.55,19.93,60.33,7999,15.67,0,2.17,-371.7,4.936,1.088,5.86,14.23,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 04:15:00",69827,7999,7999,11.39,39.48,9.78,32.52,8.45,15.97,78.68,78.68,9.41,1.58,9.11,15.74,22.81,68.38,7999,14.71,0,2.48,-380.8,5.175,1.102,5.85,14.25,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 04:30:00",69828,7999,7999,11.54,39.96,9.75,31.97,8.3,15.93,77.96,77.96,9.33,1.56,9.08,15.7,24.1,71.97,7999,13.07,0,2.48,-380.7,5.165,1.092,5.86,14.33,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 04:45:00",69829,7999,7999,15.24,52.76,10.29,29.31,7.58,16.57,84.2,84.2,9.93,1.58,9.48,16.31,31.14,91.7,7999,11.5,0,3.19,-401.8,5.664,1.104,5.86,14.32,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 05:00:00",69830,7999,7999,15.14,52.41,10.26,30.52,7.91,16.55,84.4,84.4,9.96,1.57,9.47,16.29,31.54,92.8,7999,12.92,0,3.14,-400.3,5.619,1.098,5.86,13.88,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 05:15:00",69831,7999,7999,14.28,49.45,10.46,29.19,7.54,16.77,87.7,87.7,10.29,1.59,9.61,16.51,30.18,89,7999,11.75,0,3.37,-406.9,5.823,1.108,5.85,14.23,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 05:30:00",69832,7999,7999,15.42,53.39,10.49,28.16,7.26,16.8,90.9,90.9,10.66,1.56,9.63,16.54,29.12,86,7999,12.03,0,3.34,-406,5.85,1.091,5.86,14.54,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 05:45:00",69833,7999,7999,15.19,52.57,10.65,28.34,7.31,16.99,90.8,90.8,10.6,1.54,9.75,16.72,32.65,95.9,7999,10.51,0,3.58,-413.1,5.999,1.078,5.86,14.06,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 06:00:00",69834,7999,7999,14.7,50.89,10.68,27.88,7.18,17.04,87.9,87.9,10.26,1.52,9.78,16.78,32.85,96.4,7999,10.89,0,3.53,-411.6,5.977,1.063,5.86,14.32,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 06:15:00",69835,7999,7999,15.64,54.14,10.69,28.32,7.31,17.05,87.9,87.9,10.26,1.5,9.79,16.78,34.08,99.9,7999,12.53,0,3.62,-414.4,5.993,1.049,5.86,14.6,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 06:30:00",69836,7999,7999,15.48,53.57,10.66,28.17,7.26,17.02,88.6,88.6,10.35,1.48,9.77,16.76,31.22,91.9,7999,13.09,0,3.51,-411.1,5.959,1.036,5.85,14.53,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 06:45:00",69837,7999,7999,15.29,52.93,10.7,27.93,7.2,17.07,88.5,88.5,10.33,1.47,9.8,16.81,31.56,92.8,7999,13.82,0,3.53,-411.7,5.986,1.025,5.86,14.27,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 07:00:00",69838,7999,7999,13.72,47.52,10.76,27.6,7.11,17.14,89.8,89.8,10.47,1.46,9.84,16.88,28.11,83.2,7999,14.04,0,3.53,-411.7,6.019,1.016,5.86,14.31,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 07:15:00",69839,7999,7999,14.16,49.04,10.69,27.58,7.1,17.07,88.9,88.9,10.39,1.44,9.8,16.8,29.97,88.4,7999,12.83,0,3.49,-410.5,5.961,1.005,5.86,14.58,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 07:30:00",69840,7999,7999,16.37,56.65,10.8,27.23,7.01,17.21,85.2,85.2,9.93,1.43,9.89,16.94,31.5,92.7,7999,11.07,0,3.48,-410.1,6.009,0.997,5.86,13.95,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 07:45:00",69841,7999,7999,16.84,58.28,10.67,28.6,7.38,17.07,82.9,82.9,9.7,1.41,9.8,16.8,35.76,104.6,7999,12.02,0,3.45,-409.4,5.89,0.983,5.86,14.36,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 08:00:00",69842,7999,7999,17.95,62.12,10.71,26.44,6.79,17.12,83.5,83.5,9.76,1.39,9.83,16.86,36.85,107.6,7999,15.17,0,3.34,-406.1,5.911,0.968,5.86,14.5,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 08:15:00",69843,7999,7999,18.16,62.86,10.65,26.85,6.9,17.05,83.5,83.5,9.78,1.36,9.78,16.79,38.78,113,7999,20.31,0,3.34,-406.1,5.867,0.948,5.86,14.13,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 08:30:00",69844,7999,7999,11.79,40.86,10.76,26.49,6.8,17.17,82.3,82.3,9.61,1.35,9.86,16.91,21.97,66.03,7999,17.09,0,3.29,-404.6,5.968,0.939,5.86,14.22,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 08:45:00",69845,7999,7999,11.47,39.72,10.69,27.94,7.2,17.08,81.4,81.4,9.52,1.31,9.8,16.82,25.59,76.15,7999,11.2,0,3.25,-403.3,5.915,0.915,5.86,14.54,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 09:00:00",69846,7999,7999,15.17,52.53,10.76,27.32,7.03,17.16,79.6,79.6,9.29,1.3,9.86,16.9,29.65,87.5,7999,15.67,0,3.23,-402.8,5.976,0.904,5.85,14.58,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 09:15:00",69847,7999,7999,13.55,46.92,10.68,25.45,6.52,17.08,80.2,80.2,9.39,1.27,9.8,16.82,29.41,86.8,7999,12.01,0,3.23,-402.8,5.892,0.888,5.86,14.62,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 09:30:00",69848,7999,7999,16.72,57.87,10.74,27.07,6.96,17.15,79.98,79.98,9.34,1.27,9.85,16.88,36.82,107.5,7999,21.16,0,3.15,-400.4,5.958,0.888,5.86,14.27,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 09:45:00",69849,7999,7999,13.03,45.13,10.71,27.76,7.15,17.11,79.57,79.57,9.3,1.25,9.82,16.85,22.6,67.77,7999,12.75,0,3.1,-398.9,5.933,0.871,5.86,14.08,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 10:00:00",69850,7999,7999,13.63,47.21,10.7,27.05,6.96,17.1,78.45,78.45,9.17,1.25,9.81,16.83,27.3,80.9,7999,18.03,0,3.13,-399.7,5.921,0.872,5.86,13.09,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 10:15:00",69851,7999,7999,13.93,48.22,10.48,26.84,6.9,16.83,74.16,74.16,8.71,1.24,9.65,16.57,32.25,94.8,7999,56.97,0,2.89,-392.6,5.764,0.866,5.86,14.5,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 10:30:00",69852,7999,7999,14.09,48.8,10.54,26.77,6.88,16.92,68.66,68.66,8.06,1.25,9.7,16.66,32.91,96.6,7999,38.16,0,2.85,-391.6,5.778,0.872,5.85,14.41,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 10:45:00",69853,7999,7999,13.46,46.63,10.7,28.28,7.3,17.08,77.2,77.2,9.02,1.25,9.8,16.81,29.27,86.4,7999,34.69,0,3.06,-397.6,5.947,0.872,5.86,12.45,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 11:00:00",69854,7999,7999,13.85,47.97,10.72,28.04,7.23,17.09,78.21,78.21,9.12,1.27,9.81,16.83,29.81,87.9,7999,17.65,0,3.04,-396.9,5.999,0.884,5.86,14.18,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 11:15:00",69855,7999,7999,14.97,51.81,10.63,28.26,7.29,16.96,73.69,73.69,8.6,1.28,9.73,16.69,26.71,79.27,7999,19.33,0,2.89,-392.7,5.988,0.89,5.85,14.46,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 11:30:00",69856,7999,7999,9.51,32.96,10.57,30.68,7.95,16.86,78.28,78.28,9.15,1.31,9.67,16.6,18.66,56.77,7999,20.59,0,2.8,-389.9,5.962,0.915,5.86,13.83,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 11:45:00",69857,7999,7999,13.54,46.88,10.69,28.9,7.47,17.02,76.52,76.52,8.92,1.33,9.77,16.75,26.52,78.73,7999,24.82,0,3.03,-396.8,6.034,0.931,5.86,14.31,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 12:00:00",69858,7999,7999,12.66,43.86,10.34,31.38,8.14,16.54,67.51,67.51,7.92,1.34,9.47,16.28,26.11,77.6,7999,20.47,0,2.64,-385.1,5.877,0.938,5.86,14.19,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 12:15:00",69859,7999,7999,13.13,45.47,10.55,29.65,7.67,16.81,80.9,80.9,9.44,1.36,9.64,16.55,26.74,79.36,7999,13.95,0,2.99,-395.4,6.039,0.946,5.85,13.93,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 12:30:00",69860,7999,7999,11.32,39.23,10.69,28.55,7.37,16.9,88.9,88.9,10.3,1.38,9.7,16.63,23.5,70.31,7999,12.08,0,3.23,-402.6,6.286,0.962,5.85,14.2,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 12:45:00",69861,7999,7999,10.37,35.95,11.22,27.26,7.01,17.29,118.5,118.5,13.41,1.41,9.96,17,20.34,61.48,7999,10.32,0,4.43,-438.1,7.195,0.983,5.86,14.14,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 13:00:00",69862,7999,7999,10.68,37.02,11.47,26.26,6.74,17.54,126.7,126.7,14.22,1.44,10.11,17.25,20.43,61.72,7999,9.42,0,4.96,-453.8,7.477,1.003,5.85,13.35,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 13:15:00",69863,7999,7999,13.19,45.66,11.63,25.14,6.44,17.66,129.1,129.1,14.41,1.46,10.19,17.36,26.31,78.15,7999,8.51,0,5.31,-464.1,7.731,1.022,5.86,13.88,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 13:30:00",69864,7999,7999,14.56,50.41,11.83,26,6.67,17.84,137.9,137.9,15.29,1.51,10.31,17.54,29.25,86.4,7999,9.78,0,5.59,-472.5,7.97,1.053,5.86,14.57,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 13:45:00",69865,7999,7999,15.87,54.94,11.91,25.43,6.52,17.89,147.3,147.3,16.27,1.55,10.34,17.58,34.18,100.2,7999,9.48,0,5.83,-479.5,8.11,1.081,5.85,14.3,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 14:00:00",69866,7999,7999,18.43,63.77,11.95,25.83,6.63,17.93,149.2,149.2,16.46,1.58,10.37,17.62,35.61,104.1,7999,9.84,0,5.92,-482.3,8.15,1.1,5.86,12.17,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 14:15:00",69867,7999,7999,14.92,51.67,11.92,25.79,6.61,17.91,151,151,16.68,1.6,10.36,17.61,28.31,83.7,7999,8.46,0,5.93,-482.5,8.08,1.119,5.86,13.99,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 14:30:00",69868,7999,7999,17.49,60.52,11.92,25.24,6.46,17.92,150.3,150.3,16.62,1.62,10.36,17.62,31.73,93.3,7999,9.43,0,5.95,-483.3,8.06,1.129,5.85,13.97,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 14:45:00",69869,7999,7999,19.26,66.64,11.89,26.16,6.71,17.86,149.7,149.7,16.53,1.65,10.33,17.56,34.57,101.2,7999,9.31,0,5.99,-484.4,8.11,1.148,5.85,12.69,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 15:00:00",69870,7999,7999,16.06,55.58,11.89,26.12,6.7,17.83,151.6,151.6,16.73,1.68,10.31,17.53,30.75,90.6,7999,9.07,0,6.03,-485.5,8.17,1.169,5.85,14.36,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 15:15:00",69871,7999,7999,14.63,50.66,11.73,25.45,6.52,17.81,144,144,16.06,1.7,10.29,17.51,30.34,89.4,7999,8.88,0,5.9,-481.8,7.723,1.187,5.86,14.52,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 15:30:00",69872,7999,7999,15.47,53.55,11.86,25,6.4,18.02,148.9,148.9,16.6,1.73,10.42,17.72,30.43,89.7,7999,8.24,0,5.92,-482.4,7.68,1.206,5.85,14.21,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 15:45:00",69873,7999,7999,13.92,48.18,11.9,24.63,6.3,18.22,146,146,16.37,1.76,10.54,17.92,26.44,78.51,7999,9.34,0,5.94,-482.9,7.406,1.225,5.86,13.6,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 16:00:00",69874,7999,7999,12.64,43.77,11.73,24.61,6.29,18.2,141.6,141.6,16.06,1.77,10.52,17.9,24,71.71,7999,7.87,0,5.68,-475.3,6.965,1.234,5.86,13.89,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 16:15:00",69875,7999,7999,12.06,41.76,11.72,24.31,6.21,18.4,138,138,15.8,1.79,10.64,18.11,23.43,70.1,7999,6.82,0,5.54,-471.3,6.527,1.247,5.86,14.34,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 16:30:00",69876,7999,7999,11.32,39.23,11.72,24.12,6.16,18.41,136.9,136.9,15.68,1.79,10.64,18.11,21.96,65.98,7999,7.04,0,5.53,-470.7,6.516,1.251,5.86,14.47,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 16:45:00",69877,7999,7999,13.4,46.41,11.7,24.11,6.16,18.46,135.8,135.8,15.61,1.8,10.67,18.16,28,82.9,7999,6.55,0,5.4,-467,6.38,1.257,5.85,14.56,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 17:00:00",69878,7999,7999,13.47,46.66,11.7,24.48,6.26,18.47,132.3,132.3,15.22,1.8,10.67,18.17,27.5,81.5,7999,6.67,0,5.32,-464.7,6.346,1.253,5.85,13.76,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 17:15:00",69879,7999,7999,15.49,53.61,11.71,24.31,6.21,18.46,129.5,129.5,14.88,1.79,10.67,18.17,31.98,94,7999,6.4,0,5.31,-464.3,6.392,1.248,5.86,14.51,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 17:30:00",69880,7999,7999,13.3,46.07,11.71,24.56,6.28,18.45,133.6,133.6,15.34,1.78,10.66,18.16,26.52,78.73,7999,6.4,0,5.33,-465,6.418,1.244,5.86,14.47,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 17:45:00",69881,7999,7999,12.8,44.33,11.69,24.96,6.39,18.4,135.7,135.7,15.57,1.77,10.63,18.1,26.41,78.42,7999,6.23,0,5.31,-464.3,6.454,1.232,5.86,14.14,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 18:00:00",69882,7999,7999,14.28,49.45,11.61,25.5,6.53,18.32,135.1,135.1,15.54,1.74,10.58,18.03,29.7,87.6,7999,6,0,5.28,-463.3,6.36,1.217,5.85,13.92,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 18:15:00",69883,7999,7999,14.75,51.06,11.57,25.91,6.65,18.3,134.4,134.4,15.5,1.73,10.57,18.01,29.37,86.7,7999,5.82,0,5.21,-461.5,6.282,1.205,5.85,14.5,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 18:30:00",69884,7999,7999,15.21,52.65,11.55,26.07,6.69,18.26,134,134,15.45,1.72,10.55,17.97,31.45,92.5,7999,6.12,0,5.2,-461,6.288,1.2,5.85,12.41,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 18:45:00",69885,7999,7999,16.39,56.72,11.49,26.02,6.68,18.23,132,132,15.27,1.7,10.52,17.95,32.34,95,7999,10.06,0,5.16,-459.9,6.149,1.183,5.86,14.27,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 19:00:00",69886,7999,7999,15.38,53.23,11.44,26.71,6.87,18.16,132.7,132.7,15.36,1.67,10.48,17.88,31.65,93.1,7999,10.26,0,5.09,-458,6.134,1.166,5.85,14.02,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 19:15:00",69887,7999,7999,16.48,57.04,11.38,27.78,7.16,18.11,129.1,129.1,14.97,1.65,10.44,17.83,33.49,98.2,7999,6.94,0,5.03,-456.2,6.055,1.149,5.85,14.53,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 19:30:00",69888,7999,7999,17.65,61.08,11.22,28.38,7.32,17.99,122.6,122.6,14.32,1.62,10.37,17.71,33.61,98.6,7999,7.71,0,4.88,-451.6,5.804,1.129,5.86,14.1,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 19:45:00",69889,7999,7999,16.25,56.25,11.13,29.99,7.76,17.89,121.8,121.8,14.27,1.6,10.3,17.62,33.62,98.6,7999,7.18,0,4.65,-445,5.7,1.114,5.85,14.56,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 20:00:00",69890,7999,7999,16.59,57.43,11,30.99,8.04,17.75,114.5,114.5,13.46,1.58,10.21,17.48,33.12,97.2,7999,7.58,0,4.37,-436.7,5.606,1.104,5.85,14.01,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 20:15:00",69891,7999,7999,15.25,52.81,10.88,32.07,8.33,17.66,112.3,112.3,13.27,1.54,10.16,17.4,31.5,92.7,7999,8.18,0,4.04,-426.9,5.388,1.078,5.86,14.17,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 20:30:00",69892,7999,7999,14.58,50.48,10.75,32.48,8.44,17.55,103.8,103.8,12.34,1.52,10.08,17.29,31.74,93.3,7999,9.33,0,3.58,-413.2,5.198,1.063,5.86,14.34,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 20:45:00",69893,7999,7999,14.04,48.6,10.66,33.14,8.62,17.44,100.6,100.6,11.98,1.49,10.01,17.18,27.34,81,7999,9.95,0,3.34,-406.4,5.117,1.04,5.86,14.65,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
"2020-12-30 21:00:00",69894,7999,7999,13.67,47.35,10.55,33.99,8.86,17.33,94.6,94.6,11.31,1.47,9.94,17.08,25.84,76.85,7999,10.33,0,3.04,-397.5,4.988,1.026,5.86,12.24,0,"1sn^M^J14E100203^M^J#_","1ssn^M^J14F101527_16E102150_15G10120"
