"TOA5","GCREW_MARSH_OUTLET","CR300","11122","CR300-WIFI.Std.07.02","CPU:GCREW_SONDEV1.CR300","43526","SontekTable"
"TIMESTAMP","RECORD","Flowrate","Stage","Mean_velocity","Total_volume","Water_depth","Index_velocity","Cross_area","Water_temperature","System_status","Velocity_XZxc","Velocity_XZzc","Velocity_XZxl","Velocity_XZxr","Batt_Vol_Sontek","Pitch_angle","Roll_angle","Perc_submergance","RangeWaterSurface","AdjWaterDepth","TotVOLpos","TotVOLneg","ECELL","SNR1","SNR2","SNR3","SNR4"
"TS","RN","m","m","m/s","m3","m","m/s","m2","Celcius","unitless","m/s","m/s","m/s","m/s","volts","degrees","degrees","percent","m","m","m3","m3","?","dB","dB","dB","dB"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-12-30 02:00:00",69818,0.001,0.534,0.001,-7999,0.484,0.001,0.987,1.533,0,0.001,0.002,-0.001,0.005,14.12,-1.95,-1.35,100,0.484,0.614,7999,-7999,0.472,39.9,32.5,23.1,30.3
"2020-12-30 02:15:00",69819,0.011,0.644,0.009,-7999,0.594,0.01,1.191,1.631,0,0.01,0,-0.007,0.011,13.99,-1.94,-1.37,100,0.594,0.496,7999,-7999,0.592,36.9,32.7,22.1,27.6
"2020-12-30 02:30:00",69820,-0.001,0.645,-0.001,-7999,0.595,-0.001,1.194,1.829,0,-0.001,-0.001,-0.027,-0.006,13.97,-1.93,-1.4,100,0.595,0.482,7999,-7999,0.592,35.5,32.2,20.5,26.3
"2020-12-30 02:45:00",69821,0.021,0.737,0.016,-7999,0.687,0.016,1.363,2.211,0,0.016,0,-0.003,0.011,14.03,-1.91,-1.4,100,0.687,0.494,7999,-7999,0.652,34.6,28.6,19.7,25.1
"2020-12-30 03:00:00",69822,0.014,0.752,0.01,-7999,0.702,0.009,1.391,2.564,0,0.009,0.002,-0.016,0.006,13.47,-1.88,-1.4,100,0.702,0.524,7999,-7999,0.672,34,27.3,19.6,23.9
"2020-12-30 03:15:00",69823,0.004,0.765,0.003,-7999,0.715,0.001,1.415,2.965,0,0.001,0,-0.036,-0.009,13.97,-1.87,-1.42,100,0.715,0.573,7999,-7999,0.692,31.6,26.6,19.5,24.2
"2020-12-30 03:30:00",69824,0.026,0.761,0.019,-7999,0.711,0.02,1.409,3.268,0,0.02,0.002,0.012,0.014,14.02,-1.89,-1.44,100,0.711,0.452,7999,-7999,0.689,35,28.5,23.4,25.3
"2020-12-30 03:45:00",69825,0.071,0.781,0.049,-7999,0.731,0.051,1.445,3.474,0,0.051,0.006,0.015,0.04,14.02,-1.88,-1.46,100,0.731,1.057,7999,-7999,0.709,33.9,27.7,20.8,25.3
"2020-12-30 04:00:00",69826,0.036,0.765,0.026,-7999,0.715,0.028,1.416,3.582,0,0.028,0.004,0.016,0.01,14.03,-1.89,-1.47,100,0.715,0.432,7999,-7999,0.689,34,29.6,22.3,25.5
"2020-12-30 04:15:00",69827,0.018,0.776,0.013,-7999,0.726,0.012,1.436,3.697,0,0.012,0.001,-0.011,0.006,14.03,-1.89,-1.47,100,0.726,0.479,7999,-7999,0.689,33.5,29,21,25
"2020-12-30 04:30:00",69828,0.009,0.774,0.006,-7999,0.724,0.009,1.432,3.909,0,0.009,0.002,0.02,-0.01,14.01,-1.91,-1.48,100,0.724,0.504,7999,-7999,0.709,31.9,27.3,20.2,23.4
"2020-12-30 04:45:00",69829,0.002,0.781,0.001,-7999,0.731,0.001,1.445,4.085,0,0.001,0,-0.014,-0.011,14.01,-1.91,-1.49,100,0.731,0.503,7999,-7999,0.709,30.8,27.1,21.2,24.3
"2020-12-30 05:00:00",69830,0.026,0.782,0.018,-7999,0.732,0.02,1.447,4.126,0,0.02,0.004,0.015,0.008,14.01,-1.89,-1.49,100,0.732,0.494,7999,-7999,0.709,33.1,29,20.3,24.7
"2020-12-30 05:15:00",69831,-0.052,0.787,-0.036,-7999,0.737,-0.037,1.457,4.245,0,-0.037,0.001,-0.038,-0.053,14.02,-1.92,-1.48,100,0.737,0.537,7999,-7999,0.709,32.5,28.5,21.5,24.6
"2020-12-30 05:30:00",69832,-0.048,0.798,-0.032,-7999,0.748,-0.032,1.477,4.303,0,-0.032,0.001,-0.019,-0.051,14.03,-1.91,-1.48,100,0.748,0.508,7999,-7999,0.729,36.5,29.5,23.4,28.5
"2020-12-30 05:45:00",69833,-0.03,0.765,-0.021,-7999,0.715,-0.021,1.414,4.356,0,-0.021,0.001,-0.02,-0.013,14.02,-1.9,-1.49,100,0.715,0.5,7999,-7999,0.709,35.3,28.6,21.9,26.1
"2020-12-30 06:00:00",69834,-0.015,0.745,-0.011,-7999,0.695,-0.009,1.379,4.428,0,-0.009,0,0.002,-0.001,14.01,-1.92,-1.48,100,0.695,0.612,7999,-7999,0.669,34.6,29.6,23.5,26.6
"2020-12-30 06:15:00",69835,-0.014,0.733,-0.01,-7999,0.683,-0.009,1.356,4.412,0,-0.009,-0.002,-0.021,-0.003,13.99,-1.91,-1.5,100,0.683,0.609,7999,-7999,0.669,36.3,30,22.7,26.6
"2020-12-30 06:30:00",69836,-0.02,0.748,-0.015,-7999,0.698,-0.014,1.384,4.427,0,-0.014,0,-0.016,-0.015,14.01,-1.9,-1.48,100,0.698,0.375,7999,-7999,0.669,35,30.1,22.9,27.8
"2020-12-30 06:45:00",69837,-0.032,0.735,-0.024,-7999,0.685,-0.023,1.36,4.422,0,-0.023,0.001,-0.03,-0.012,13.99,-1.91,-1.48,100,0.685,0.561,7999,-7999,0.669,36.1,32,23.1,27.3
"2020-12-30 07:00:00",69838,-0.027,0.729,-0.02,-7999,0.679,-0.02,1.349,4.44,0,-0.02,0.001,-0.03,-0.017,14.01,-1.91,-1.47,100,0.679,0.614,7999,-7999,0.669,36,31.8,21.1,29.6
