TIMESTAMP,RECORD,Level_m_CBS,Pressure_mbar_CBS,Temperature_CBS,Status_CBS
2021-02-01T00:00:00Z,22430,1.751,171.71,10.7,0
2021-02-01T00:06:00Z,22431,1.747,171.31,10.7,0
2021-02-01T00:12:00Z,22432,1.742,170.83,10.7,0
2021-02-01T00:18:00Z,22433,1.735,170.19,10.7,0
2021-02-01T00:24:00Z,22434,1.732,169.9,10.7,0
2021-02-01T00:30:00Z,22435,1.728,169.51,10.7,0
2021-02-01T00:36:00Z,22436,1.725,169.19,10.7,0
2021-02-01T00:42:00Z,22437,1.724,169.05,10.7,0
2021-02-01T00:48:00Z,22438,1.721,168.74,10.6,0
2021-02-01T00:54:00Z,22439,1.72,168.64,10.6,0
2021-02-01T01:00:00Z,22440,1.718,168.51,10.6,0
2021-02-01T01:06:00Z,22441,1.718,168.45,10.6,0
2021-02-01T01:12:00Z,22442,1.717,168.42,10.6,0
2021-02-01T01:18:00Z,22443,1.718,168.44,10.6,0
2021-02-01T01:24:00Z,22444,1.717,168.36,10.5,0
2021-02-01T01:30:00Z,22445,1.716,168.26,10.5,0
2021-02-01T01:36:00Z,22446,1.716,168.24,10.5,0
2021-02-01T01:42:00Z,22447,1.714,168.13,10.5,0
2021-02-01T01:48:00Z,22448,1.714,168.07,10.5,0
2021-02-01T01:54:00Z,22449,1.712,167.92,10.4,0
2021-02-01T02:00:00Z,22450,1.711,167.81,10.4,0
2021-02-01T02:06:00Z,22451,1.709,167.63,10.4,0
2021-02-01T02:12:00Z,22452,1.709,167.59,10.4,0
2021-02-01T02:18:00Z,22453,1.71,167.7,10.4,0
2021-02-01T02:24:00Z,22454,1.711,167.81,10.3,0
2021-02-01T02:30:00Z,22455,1.715,168.16,10.3,0
2021-02-01T02:36:00Z,22456,1.718,168.44,10.3,0
2021-02-01T02:42:00Z,22457,1.72,168.65,10.3,0
2021-02-01T02:48:00Z,22458,1.722,168.91,10.3,0
2021-02-01T02:54:00Z,22459,1.724,169.03,10.2,0
2021-02-01T03:00:00Z,22460,1.725,169.14,10.2,0
2021-02-01T03:06:00Z,22461,1.728,169.48,10.2,0
2021-02-01T03:12:00Z,22462,1.732,169.81,10.2,0
2021-02-01T03:18:00Z,22463,1.736,170.22,10.2,0
2021-02-01T03:24:00Z,22464,1.741,170.77,10.2,0
2021-02-01T03:30:00Z,22465,1.746,171.18,10.1,0
2021-02-01T03:36:00Z,22466,1.749,171.48,10.1,0
2021-02-01T03:42:00Z,22467,1.75,171.66,10.1,0
2021-02-01T03:48:00Z,22468,1.752,171.8,10.1,0
2021-02-01T03:54:00Z,22469,1.754,172,10.1,0
2021-02-01T04:00:00Z,22470,1.757,172.28,10.1,0
2021-02-01T04:06:00Z,22471,1.759,172.51,10.1,0
2021-02-01T04:12:00Z,22472,1.759,172.55,10,0
2021-02-01T04:18:00Z,22473,1.758,172.43,10,0
2021-02-01T04:24:00Z,22474,1.757,172.28,10,0
2021-02-01T04:30:00Z,22475,1.756,172.2,10,0
2021-02-01T04:36:00Z,22476,1.758,172.36,10,0
2021-02-01T04:42:00Z,22477,1.76,172.65,10,0
2021-02-01T04:48:00Z,22478,1.765,173.08,10,0
2021-02-01T04:54:00Z,22479,1.771,173.64,10,0
2021-02-01T05:00:00Z,22480,1.776,174.2,10,0
2021-02-01T05:06:00Z,22481,1.789,175.47,10,0
2021-02-01T05:12:00Z,22482,1.794,175.95,10,0
2021-02-01T05:18:00Z,22483,1.798,176.37,10.1,0
